Date,Open,High,Low,Close,Adj Close,Volume
19/12/2016,107.400002,107.660004,107.239998,107.419998,102.874344,18072600
26/12/2016,107.190002,108.120003,107.190002,108.059998,103.726852,15610800
02/01/2017,107.730003,108.68,107.730003,108.290001,103.947639,16452300
09/01/2017,108.540001,108.93,108.260002,108.419998,104.072433,16218700
16/01/2017,108.809998,108.870003,107.830002,108.080002,103.746094,12698800
23/01/2017,108.220001,108.57,107.709999,108.080002,103.746094,13168900
30/01/2017,108.160004,108.370003,107.690002,108.010002,103.678886,19712200
06/02/2017,108.220001,108.830002,108.099998,108.459999,104.320877,13460600
13/02/2017,108.339996,108.449997,107.860001,108.360001,104.224716,14623700
20/02/2017,108.239998,109.059998,108.199997,109,104.840271,9475700
27/02/2017,108.949997,108.980003,107.739998,107.919998,103.801514,15712100
06/03/2017,107.940002,107.989998,107.120003,107.300003,103.414322,14184200
13/03/2017,107.209999,107.910004,107.080002,107.889999,103.982948,11199100
20/03/2017,107.860001,108.540001,107.839996,108.360001,104.435951,11774800
27/03/2017,108.650002,108.709999,108.349998,108.489998,104.561234,11410600
03/04/2017,108.309998,108.889999,108.300003,108.440002,104.513046,12638300
10/04/2017,108.529999,109.389999,108.489998,109.269997,105.528923,8877500
17/04/2017,109.300003,109.699997,109.18,109.339996,105.596527,9571200
24/04/2017,109.050003,109.25,108.769997,109.25,105.509598,13808100
01/05/2017,108.860001,108.989998,108.550003,108.699997,104.978439,10594500
08/05/2017,108.629997,108.940002,108.339996,108.919998,105.421547,11967400
15/05/2017,108.849998,109.629997,108.82,109.519997,106.002251,9898300
22/05/2017,109.43,109.540001,109.209999,109.440002,105.924843,8209800
29/05/2017,109.580002,109.889999,109.339996,109.839996,106.311974,8471600
05/06/2017,109.660004,109.949997,109.459999,109.559998,106.263664,9111300
12/06/2017,109.510002,110.18,109.43,109.940002,106.632233,9947100
19/06/2017,109.870003,110.110001,109.739998,110.050003,106.738922,7709400
26/06/2017,110.190002,110.239998,109.459999,109.510002,106.215157,23175200
03/07/2017,109.300003,109.300003,108.82,108.900002,105.623512,11118200
10/07/2017,108.970001,109.559998,108.889999,109.370003,106.297775,9970300
17/07/2017,109.400002,109.959999,109.32,109.919998,106.832329,11868900
24/07/2017,109.839996,109.919998,109.349998,109.699997,106.618492,10560300
31/07/2017,109.690002,109.940002,109.360001,109.68,106.599052,10741300
07/08/2017,109.690002,109.940002,109.5,109.870003,107.008194,11157000
14/08/2017,109.839996,110.139999,109.540001,109.949997,107.086105,13396100
21/08/2017,110.010002,110.190002,109.870003,110.120003,107.251678,10033700
28/08/2017,110.169998,110.489998,109.910004,109.970001,107.105583,16206400
04/09/2017,110.269997,110.660004,110.209999,110.440002,107.787811,8989200
11/09/2017,110.269997,110.290001,109.809998,109.910004,107.270531,10722600
18/09/2017,109.860001,109.959999,109.589996,109.769997,107.133888,8383000
25/09/2017,109.849998,110.040001,109.510002,109.589996,106.958206,17203600
02/10/2017,109.43,109.57,109.150002,109.279999,106.655655,14561500
09/10/2017,109.349998,109.870003,109.300003,109.860001,107.444283,8310900
16/10/2017,109.75,109.809998,109.260002,109.300003,106.896599,11107500
23/10/2017,109.400002,109.470001,108.949997,109.239998,106.837921,10734500
30/10/2017,109.43,109.559998,109.169998,109.449997,107.043304,13005800
